id,source_type,source_identifier,institution_code,program_code,catalog_year,slot_code,status,source_url,last_verified_at,verified_by,verification_status
437faf10-8881-5f3a-b596-07eab6ffb9eb,PROVIDER_COURSE,SOPH-ENG1001,UMPI,BSBA,2025-2026,ENG1,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
ad511a88-d64b-5f32-b367-11bd862ae421,PROVIDER_COURSE,SOPH-ENG1002,UMPI,BSBA,2025-2026,ENG2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
d09dc280-5353-50f0-b4ba-ce24996bad5d,PROVIDER_COURSE,SOPH-COMM1001,UMPI,BSBA,2025-2026,COMM,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
a2608b69-e8ad-57f7-8ad2-283a60e372d0,PROVIDER_COURSE,SOPH-MATH1001,UMPI,BSBA,2025-2026,QR,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
9ce7c20d-d8f7-53a2-9120-b8f3cd096703,PROVIDER_COURSE,SOPH-STAT1001,UMPI,BSBA,2025-2026,STAT,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
6fc145ca-a48c-5b5e-83a7-529af9b58d06,PROVIDER_COURSE,SOPH-ENVS1001,UMPI,BSBA,2025-2026,NS2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
9e90fa6b-7509-5b78-9d84-da48ac3777c2,PROVIDER_COURSE,SOPH-BIO1001,UMPI,BSBA,2025-2026,NS2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
0b084330-92d8-58d9-85d3-69d9f832be74,PROVIDER_COURSE,SOPH-ART1001,UMPI,BSBA,2025-2026,HUM1,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
4e4d3368-8bec-565f-bbee-5390e15fd5d2,PROVIDER_COURSE,SOPH-PHIL1001,UMPI,BSBA,2025-2026,HUM2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
6a1e5a8f-498b-50e4-bfe3-91984e61d067,PROVIDER_COURSE,SOPH-PHIL1002,UMPI,BSBA,2025-2026,ETHICS,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
cb5a0726-f09a-5536-acb7-31d025752b81,PROVIDER_COURSE,SOPH-HIST1001,UMPI,BSBA,2025-2026,HIST,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
b247cd03-9c17-5be2-a9e3-6ee8121a552d,PROVIDER_COURSE,SOPH-PSYC1001,UMPI,BSBA,2025-2026,SS1,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
2dc25f58-92d4-5438-a6fe-f21d0282c40b,PROVIDER_COURSE,SOPH-SOCI1001,UMPI,BSBA,2025-2026,SS2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
f80d6aaf-2aab-5dc1-bd06-c5219e0aa075,PROVIDER_COURSE,SOPH-CS1001,UMPI,BSBA,2025-2026,INFO,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
50856083-f584-5391-b793-79813b1c5dc2,PROVIDER_COURSE,SOPH-BUS1001,UMPI,BSBA,2025-2026,BUS101,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
1ebbc625-b125-5517-b8c3-19846edd8801,PROVIDER_COURSE,SOPH-ACCT1001,UMPI,BSBA,2025-2026,ACCT1,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
cb3c3de4-2ca6-5be5-b1ce-c629dd71a372,PROVIDER_COURSE,SOPH-ECON1001,UMPI,BSBA,2025-2026,MICRO,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
785af940-f49b-5405-aa1e-14aa59a908a7,PROVIDER_COURSE,SOPH-ECON1002,UMPI,BSBA,2025-2026,MACRO,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
e7e0769b-2a2e-57d6-abb9-22cf6c3bfb3d,PROVIDER_COURSE,SOPH-MGT1001,UMPI,BSBA,2025-2026,MGT,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
9b5c79fa-ff95-5cae-9656-264805953bdd,PROVIDER_COURSE,SOPH-MKT1001,UMPI,BSBA,2025-2026,MKT,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
6e62fde5-d4b8-56f0-82de-a954a38428d3,PROVIDER_COURSE,SOPH-BUS1002,UMPI,BSBA,2025-2026,BLAW,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
714ab466-b448-5f16-85ec-0c2ec79056bd,PROVIDER_COURSE,SOPH-CS1002,UMPI,BSBA,2025-2026,IS,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
00ca1594-e56a-5043-a18d-66a05394a5ad,PROVIDER_COURSE,SDC-ENG104,UMPI,BSBA,2025-2026,ENG1,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
967cb2bb-c577-543a-a618-0ae5b1ac8ee1,PROVIDER_COURSE,SDC-ENG105,UMPI,BSBA,2025-2026,ENG2,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
385fafff-5b9e-59ab-be36-85f22f3ee18e,PROVIDER_COURSE,SDC-MATH101,UMPI,BSBA,2025-2026,QR,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
11430504-5051-5ba4-80d3-128463f3788b,PROVIDER_COURSE,SDC-STAT101,UMPI,BSBA,2025-2026,STAT,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
94825933-9848-58f6-8198-db7f73611cb6,PROVIDER_COURSE,SDC-BUS101,UMPI,BSBA,2025-2026,MGT,VERIFIED,https://www.umpi.edu/yourpace/faqs/,2026-09-01,seed-research-2026-09,VERIFIED
